"scenario_id","domain","previous_status","previous_failure_category","application_invoked","ai_provider_invoked","provider_http_failure","provider_call","http_status_code","exception_type","retry_count","request_duration_seconds","entity_resolution","sql_planned","sql_executed","evidence_collected","evidence_gate","ai_judge_completed","new_status","new_failure_category","root_cause","code_change","test_evidence","scenario_now_passes","blocked_by_provider_or_runtime"
"banking-pilot-001","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.223154799998156","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-002","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.421485200000461","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-003","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.879963800005498","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-004","banking","AI_SKIPPED_BY_EVIDENCE_GATE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","5.275982399994973","exact","yes","yes","yes","rejected","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Fixture status contradicted the question; correlated tables lacked an FK and the gate ignored shared CorrelationId proof","Corrected fixture status/verification; accept same correlation key across two distinct tables","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-pilot-005","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.519857400009641","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-001","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","10.074344700013171","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-002","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.457420299993828","not recorded","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-003","banking","INSUFFICIENT_DATABASE_EVIDENCE","EVIDENCE_INSUFFICIENT","yes","no","no","none","not preserved","none","","4.3116878000000725","ambiguous-safe-stop","no after ambiguity","no after ambiguity","no","not reached","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Ambiguous unsuffixed identifier correctly failed closed; evaluator classified the safe stop as insufficient evidence","No broad matching change; ambiguity remains a safe stop","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-004","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","11.467932799991104","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
"banking-benchmark-005","banking","AI_INVOCATION_FAILED","PROVIDER_OTHER_FAILURE","yes","yes","yes","application-model","not preserved","HTTPError","0","12.273268899996765","exact","yes","yes","yes","accepted","no","NOT_RERUN_PREFLIGHT_BLOCKED","BLOCKED_BY_APPLICATION_RUNTIME","Application-model HTTP failure; status code was not preserved","Bounded transient retry, jitter, total-duration bound, circuit breaker, prospective HTTP diagnostics","163 ordered focused tests passed; 5 live-database tests skipped","not demonstrated","yes"
