run_id,run_name,status,requested_scenario_count,execution_count,completed_count,failed_count,created_at,application_commit,application_version,database_records_json,judge_record_count,artifact_paths_json,proposed_action,reason
a6c837d8-9fab-40c0-b132-1cbc3ef76fc3,local-smoke-1,created,0,1,1,0,2026-07-16 16:56:08,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 1, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 1, ""evaluation_human_review_flags"": 1, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",1,"[""research\\results\\a6c837d8-9fab-40c0-b132-1cbc3ef76fc3""]",DELETE,"Partial, pilot, focused, duplicate, or temporary run (1/1 completed; 0 failed)."
bc6240bc-5eaf-43e3-ba46-9a9b6089b7b3,local-full-125,created,125,124,5,119,2026-07-16 17:20:13,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 5, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 5, ""evaluation_human_review_flags"": 5, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 124, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",5,"[""research\\results\\bc6240bc-5eaf-43e3-ba46-9a9b6089b7b3"", ""research\\results\\recovery\\bc6240bc-5eaf-43e3-ba46-9a9b6089b7b3"", ""research\\results\\suite-full-125-bc6240bc-5eaf-43e3-ba46-9a9b6089b7b3.json""]",DELETE,"Partial, pilot, focused, duplicate, or temporary run (5/124 completed; 119 failed)."
3772275f-f219-4999-9c31-28f8dd5dc411,local-full-125-verified,completed,125,125,125,0,2026-07-16 17:26:07,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 125, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 125, ""evaluation_human_review_flags"": 125, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 125, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",125,"[""research\\results\\3772275f-f219-4999-9c31-28f8dd5dc411"", ""research\\results\\suite-full-125-3772275f-f219-4999-9c31-28f8dd5dc411.json""]",DELETE,Duplicate or non-release run that does not satisfy complete manifest/provenance/artifact checks.
76be6627-9f10-472b-bd2d-875b8460f535,instrumented-ai-enabled,created,0,1,0,1,2026-07-16 18:03:17,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 0, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 0, ""evaluation_human_review_flags"": 0, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",0,[],DELETE,"Partial, pilot, focused, duplicate, or temporary run (0/1 completed; 1 failed)."
0d3c0a18-3932-42fb-bb98-06f08338107c,instrumented-ai-enabled-fixed,created,0,1,0,1,2026-07-16 18:21:06,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 0, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 0, ""evaluation_human_review_flags"": 0, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",0,[],DELETE,"Partial, pilot, focused, duplicate, or temporary run (0/1 completed; 1 failed)."
05ce2ce7-a105-4334-98ab-412bb804993e,instrumented-ai-enabled-final,created,0,1,0,1,2026-07-16 18:22:33,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 0, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 0, ""evaluation_human_review_flags"": 0, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",0,[],DELETE,"Partial, pilot, focused, duplicate, or temporary run (0/1 completed; 1 failed)."
e0691591-449f-4d19-a29c-96d06a418368,shipping-native-sqlserver,created,0,1,1,0,2026-07-16 18:48:08,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 1, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 1, ""evaluation_human_review_flags"": 1, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",1,"[""research\\results\\e0691591-449f-4d19-a29c-96d06a418368""]",DELETE,"Partial, pilot, focused, duplicate, or temporary run (1/1 completed; 0 failed)."
ef9a60c2-08f7-44f1-b3cc-2d50d300a5f5,pilot-v1,created,0,1,1,0,2026-07-16 19:04:01,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 1, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 9, ""evaluation_human_review_flags"": 1, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",1,"[""research\\results\\ef9a60c2-08f7-44f1-b3cc-2d50d300a5f5""]",DELETE,"Partial, pilot, focused, duplicate, or temporary run (1/1 completed; 0 failed)."
5e448170-6ffa-401b-b087-da9d1980d625,pilot-v1,created,0,1,0,1,2026-07-16 19:14:11,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 0, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 0, ""evaluation_human_review_flags"": 0, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",0,[],DELETE,"Partial, pilot, focused, duplicate, or temporary run (0/1 completed; 1 failed)."
cd3d592d-0e7c-49a9-8fba-30d61989c09d,pilot-v1,created,0,1,1,0,2026-07-16 19:45:54,7fb451c1f3f8da1683ef503f4b3dca39290d75ec,0.1.0,"{""ai_judge_results"": 0, ""capability_results"": 0, ""deterministic_validation_results"": 0, ""evaluation_ai_judge_scores"": 1, ""evaluation_artifacts"": 0, ""evaluation_deterministic_scores"": 10, ""evaluation_human_review_flags"": 1, ""evaluation_jobs"": 0, ""evaluation_metrics"": 0, ""evaluation_scenario_executions"": 1, ""human_reviews"": 0, ""investigation_evidence_snapshots"": 0, ""investigation_results"": 0, ""investigation_sql_snapshots"": 0}",1,"[""research\\results\\cd3d592d-0e7c-49a9-8fba-30d61989c09d""]",DELETE,"Partial, pilot, focused, duplicate, or temporary run (1/1 completed; 0 failed)."
